method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
im2col_cublas,2048,3,3,1,1,1,2048,2048,5,24,0.834491,0.002439,0.830304,271.413959,432.000000,0.533917,0.300573,0.000000,28.655212,0.192287,-0.089163,0.049149,0.065891,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,1,1,2048,2048,5,24,0.107573,0.000568,0.106560,2105.469884,0.000000,0.000000,0.000000,0.000000,28.655169,0.192287,-0.089163,0.049149,0.065891,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,2,1,1024,1024,5,24,0.015669,0.001839,0.014432,3613.625589,0.000000,0.000000,0.000000,0.000000,-225.593098,0.192287,0.049149,-0.094374,-0.034171,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,2,1,1024,1024,5,24,0.136948,0.001314,0.135232,413.464262,108.000000,0.085608,0.051340,0.000000,-225.593092,0.192287,0.049149,-0.094374,-0.034171,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,2,1,1024,1024,5,24,0.035323,0.000378,0.035008,1603.024634,0.000000,0.000000,0.000000,0.000000,-225.593098,0.192287,0.049149,-0.094374,-0.034171,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,3,1,683,683,5,24,0.011328,0.000465,0.010336,2223.729337,0.000000,0.000000,0.000000,0.000000,-96.485800,0.192287,0.065891,-0.034171,0.212887,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,3,1,683,683,5,24,0.053703,0.001535,0.052000,469.071794,48.046886,0.038509,0.015193,0.000000,-96.485793,0.192287,0.065891,-0.034171,0.212887,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,3,1,683,683,5,24,0.022395,0.000545,0.021728,1124.839511,0.000000,0.000000,0.000000,0.000000,-96.485800,0.192287,0.065891,-0.034171,0.212887,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,1,1,4096,4096,3,12,0.204019,0.001735,0.201600,4440.621473,0.000000,0.000000,0.000000,0.000000,200.975287,-0.015957,-0.082772,0.059791,-0.096415,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,1,1,4096,4096,3,12,2.771040,0.020112,2.726880,326.942110,1728.000000,1.594035,1.177005,0.000000,200.975269,-0.015957,-0.082772,0.059791,-0.096415,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,1,1,4096,4096,3,12,0.505093,0.001097,0.503712,1793.667822,0.000000,0.000000,0.000000,0.000000,200.975287,-0.015957,-0.082772,0.059791,-0.096415,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,2,1,2048,2048,3,12,0.129915,0.000584,0.128288,1743.393741,0.000000,0.000000,0.000000,0.000000,-89.997782,-0.015957,0.059791,0.253736,0.020813,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,2,1,2048,2048,3,12,1.076720,0.002850,1.071232,210.354055,432.000000,0.772931,0.303789,0.000000,-89.997793,-0.015957,0.059791,0.253736,0.020813,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,2,1,2048,2048,3,12,0.155752,0.000706,0.154624,1454.186261,0.000000,0.000000,0.000000,0.000000,-89.997782,-0.015957,0.059791,0.253736,0.020813,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,3,1,1366,1366,3,12,0.127600,0.000679,0.125952,789.667881,0.000000,0.000000,0.000000,0.000000,172.371926,-0.015957,-0.096415,0.020813,0.025312,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,3,1,1366,1366,3,12,0.454152,0.003373,0.447296,221.867622,192.187546,0.327005,0.127147,0.000000,172.371942,-0.015957,-0.096415,0.020813,0.025312,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,3,1,1366,1366,3,12,0.135651,0.000705,0.135040,742.802281,0.000000,0.000000,0.000000,0.000000,172.371926,-0.015957,-0.096415,0.020813,0.025312,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,1,1,256,256,8,80,0.012030,0.000644,0.010976,4706.668422,0.000000,0.000000,0.000000,0.000000,279.769374,-0.135109,-0.010073,-0.037619,0.260087,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,1,1,256,256,8,80,0.019376,0.000540,0.017216,2922.392299,6.750000,0.007202,0.012173,0.000294,279.778570,-0.135079,-0.010006,-0.037570,0.260066,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,1,1,256,256,8,80,0.018859,0.000463,0.018080,3002.476507,0.000000,0.000000,0.000000,0.000000,279.769374,-0.135109,-0.010073,-0.037619,0.260087,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,2,1,128,128,8,80,0.006870,0.001340,0.005280,2060.400554,0.000000,0.000000,0.000000,0.000000,-19.413115,-0.135109,-0.037619,-0.176186,-0.163357,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,2,1,128,128,8,80,0.009973,0.001227,0.008864,1419.381549,1.687500,0.003376,0.006598,0.000288,-19.460269,-0.135079,-0.037570,-0.176183,-0.163408,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,2,1,128,128,8,80,0.014078,0.000939,0.012448,1005.524657,0.000000,0.000000,0.000000,0.000000,-19.413115,-0.135109,-0.037619,-0.176186,-0.163357,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,3,1,86,86,8,80,0.005012,0.000557,0.004192,1275.070642,0.000000,0.000000,0.000000,0.000000,104.100550,-0.135109,0.260087,-0.163357,0.272784,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,3,1,86,86,8,80,0.008502,0.000816,0.006624,751.604803,0.761765,0.003283,0.005219,0.000000,104.100545,-0.135109,0.260087,-0.163357,0.272784,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,3,1,86,86,8,80,0.012789,0.000770,0.012320,499.651584,0.000000,0.000000,0.000000,0.000000,104.100550,-0.135109,0.260087,-0.163357,0.272784,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,1,1,512,512,8,60,0.038017,0.000697,0.036992,5957.651084,0.000000,0.000000,0.000000,0.000000,186.580071,-0.028331,0.076204,0.230091,0.042072,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,1,1,512,512,8,60,0.064752,0.000563,0.063776,3497.844325,27.000000,0.019668,0.045084,0.000296,186.673372,-0.028340,0.076206,0.230074,0.042082,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,1,1,512,512,8,60,0.035324,0.000626,0.034816,6411.904875,0.000000,0.000000,0.000000,0.000000,186.580071,-0.028331,0.076204,0.230091,0.042072,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,2,1,256,256,8,60,0.014466,0.000893,0.013408,3914.183742,0.000000,0.000000,0.000000,0.000000,46.140764,-0.028331,0.230091,0.113266,-0.018173,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,2,1,256,256,8,60,0.019482,0.000468,0.016960,2906.411889,6.750000,0.007240,0.012242,0.000285,46.220123,-0.028340,0.230074,0.113286,-0.018133,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,2,1,256,256,8,60,0.020979,0.000390,0.020448,2699.080186,0.000000,0.000000,0.000000,0.000000,46.140764,-0.028331,0.230091,0.113266,-0.018173,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,3,1,171,171,8,60,0.010810,0.000712,0.009408,2337.087181,0.000000,0.000000,0.000000,0.000000,225.901081,-0.028331,0.042072,-0.018173,-0.066021,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,3,1,171,171,8,60,0.012610,0.001544,0.010048,2003.570616,3.011730,0.005116,0.007494,0.000284,225.888795,-0.028340,0.042082,-0.018133,-0.066037,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,3,1,171,171,8,60,0.014855,0.001084,0.014336,1700.729542,0.000000,0.000000,0.000000,0.000000,225.901081,-0.028331,0.042072,-0.018173,-0.066021,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,1,1,1024,1024,8,35,0.150568,0.000285,0.149728,6017.004203,0.000000,0.000000,0.000000,0.000000,856.287253,0.180195,-0.108260,-0.005533,-0.107989,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,1,1,1024,1024,8,35,0.240688,0.000804,0.238432,3764.090353,108.000000,0.074890,0.165797,0.000317,856.408500,0.180238,-0.108289,-0.005504,-0.107975,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,1,1,1024,1024,8,35,0.105820,0.001577,0.102560,8561.394213,0.000000,0.000000,0.000000,0.000000,856.287253,0.180195,-0.108260,-0.005533,-0.107989,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,2,1,512,512,8,35,0.047666,0.000917,0.046112,4751.627143,0.000000,0.000000,0.000000,0.000000,725.126727,0.180195,-0.005533,-0.070462,-0.022373,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,2,1,512,512,8,35,0.064643,0.000376,0.064096,3503.756285,27.000000,0.019556,0.045087,0.000305,725.345953,0.180238,-0.005504,-0.070439,-0.022374,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,2,1,512,512,8,35,0.036424,0.002236,0.032512,6218.180161,0.000000,0.000000,0.000000,0.000000,725.126727,0.180195,-0.005533,-0.070462,-0.022373,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,3,1,342,342,8,35,0.031852,0.001727,0.029888,3172.713122,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,3,1,342,342,8,35,0.027407,0.000649,0.025696,3687.315843,12.046921,0.011032,0.016375,0.000295,223.726426,0.180238,-0.107975,-0.022374,0.147355,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,3,1,342,342,8,35,0.024949,0.000278,0.024576,4050.534303,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,1,1,2048,2048,5,24,0.525109,0.000267,0.524096,6901.188812,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,1,1,2048,2048,5,24,1.199803,0.002124,1.196800,3020.395542,432.000000,0.550240,0.649563,0.000365,-831.175397,0.133020,0.156352,0.201432,-0.221260,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,1,1,2048,2048,5,24,0.389072,0.001241,0.386944,9314.159424,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,2,1,1024,1024,5,24,0.186067,0.001019,0.184992,4869.059480,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,2,1,1024,1024,5,24,0.254807,0.000214,0.254112,3555.517869,108.000000,0.086855,0.167952,0.000321,-392.468241,0.133020,0.201432,-0.251423,-0.010621,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,2,1,1024,1024,5,24,0.107121,0.001327,0.106400,8457.415951,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,3,1,683,683,5,24,0.114540,0.001807,0.112864,3518.827426,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,3,1,683,683,5,24,0.131935,0.000694,0.129216,3054.894484,48.046886,0.056277,0.075657,0.000347,35.971848,0.133020,-0.221260,-0.010621,0.138528,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,3,1,683,683,5,24,0.062373,0.004869,0.059616,6461.839887,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,1,1,4096,4096,3,12,1.991221,0.011807,1.981792,7279.710441,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,1,1,4096,4096,3,12,4.189653,0.005612,4.180864,3459.836266,1728.000000,1.606176,2.583477,0.000358,1699.732833,-0.008435,0.022215,-0.016165,0.138887,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,1,1,4096,4096,3,12,1.524083,0.006839,1.508288,9510.976667,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,2,1,2048,2048,3,12,1.151184,0.007502,1.139552,3147.957824,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,2,1,2048,2048,3,12,1.444120,0.002191,1.440544,2509.402703,432.000000,0.793509,0.650611,0.000358,456.027793,-0.008435,-0.016165,-0.086692,0.021592,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,2,1,2048,2048,3,12,0.394472,0.000860,0.393152,9186.656217,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,3,1,1366,1366,3,12,1.989960,0.003678,1.983424,810.160005,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,3,1,1366,1366,3,12,0.648699,0.002252,0.645984,2485.261747,192.187546,0.354288,0.294411,0.000358,553.339570,-0.008435,0.138887,0.021592,0.137018,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,3,1,1366,1366,3,12,0.216611,0.001227,0.215008,7442.781943,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,1,1,256,256,8,80,0.037095,0.000996,0.035808,6105.772740,0.000000,0.000000,0.000000,0.000000,328.665492,0.093059,0.065266,-0.216777,0.180619,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,1,1,256,256,8,80,0.021596,0.000560,0.020448,10487.702204,6.750000,0.007186,0.014410,0.000316,328.778693,0.093036,0.065242,-0.216795,0.180482,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,1,1,256,256,8,80,0.034528,0.001665,0.032352,6559.597868,0.000000,0.000000,0.000000,0.000000,328.665492,0.093059,0.065266,-0.216777,0.180619,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,2,1,128,128,8,80,0.013371,0.000920,0.012192,4234.706253,0.000000,0.000000,0.000000,0.000000,35.441725,0.093059,-0.216777,0.246616,-0.139305,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,2,1,128,128,8,80,0.009906,0.000794,0.008960,5716.272014,1.687500,0.003226,0.006680,0.000293,35.495875,0.093036,-0.216795,0.246596,-0.139289,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,2,1,128,128,8,80,0.018432,0.001653,0.016576,3072.066688,0.000000,0.000000,0.000000,0.000000,35.441725,0.093059,-0.216777,0.246616,-0.139305,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,3,1,86,86,8,80,0.011186,0.000544,0.009440,2284.968875,0.000000,0.000000,0.000000,0.000000,43.199514,0.093059,0.180619,-0.139305,0.115837,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,3,1,86,86,8,80,0.008988,0.000699,0.008032,2843.729262,0.761765,0.003152,0.005836,0.000298,43.165316,0.093036,0.180482,-0.139289,0.115840,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,3,1,86,86,8,80,0.016852,0.000636,0.016224,1516.732118,0.000000,0.000000,0.000000,0.000000,43.199514,0.093059,0.180619,-0.139305,0.115837,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,1,1,512,512,8,60,0.149175,0.000961,0.148288,6073.181305,0.000000,0.000000,0.000000,0.000000,456.175651,0.042018,-0.286555,0.142715,0.179368,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,1,1,512,512,8,60,0.075635,0.001097,0.074592,11978.232855,27.000000,0.020286,0.055348,0.000319,455.775184,0.042032,-0.286612,0.142629,0.179370,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,1,1,512,512,8,60,0.099850,0.001876,0.096672,9073.294599,0.000000,0.000000,0.000000,0.000000,456.175651,0.042018,-0.286555,0.142715,0.179368,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,2,1,256,256,8,60,0.046480,0.000773,0.045152,4872.900534,0.000000,0.000000,0.000000,0.000000,-191.602267,0.042018,0.142715,-0.193316,0.202937,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,2,1,256,256,8,60,0.021665,0.000803,0.021056,10454.268145,6.750000,0.007201,0.014465,0.000309,-191.648775,0.042032,0.142629,-0.193252,0.202974,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,2,1,256,256,8,60,0.035065,0.000513,0.032928,6459.302205,0.000000,0.000000,0.000000,0.000000,-191.602267,0.042018,0.142715,-0.193316,0.202937,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,3,1,171,171,8,60,0.030595,0.000883,0.029568,3303.088642,0.000000,0.000000,0.000000,0.000000,109.869652,0.042018,0.179368,0.202937,-0.145089,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,3,1,171,171,8,60,0.013497,0.000710,0.012640,7487.618731,3.011730,0.005142,0.008355,0.000293,109.780210,0.042032,0.179370,0.202974,-0.145032,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,3,1,171,171,8,60,0.024688,0.000693,0.022656,4093.360988,0.000000,0.000000,0.000000,0.000000,109.869652,0.042018,0.179368,0.202937,-0.145089,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,64,1,1,1024,1024,8,35,0.526666,0.000938,0.524480,6880.790222,0.000000,0.000000,0.000000,0.000000,454.755384,0.285387,0.233116,0.176703,-0.282643,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,64,1,1,1024,1024,8,35,0.336631,0.001577,0.334400,10765.141128,108.000000,0.076626,0.260005,0.000353,455.407379,0.285369,0.233079,0.176716,-0.282658,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,64,1,1,1024,1024,8,35,0.346982,0.001357,0.345728,10443.984041,0.000000,0.000000,0.000000,0.000000,454.755384,0.285387,0.233116,0.176703,-0.282643,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,64,2,1,512,512,8,35,0.185278,0.000649,0.183232,4889.780904,0.000000,0.000000,0.000000,0.000000,379.076805,0.285387,0.176703,-0.143890,-0.387281,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,64,2,1,512,512,8,35,0.079338,0.000960,0.078304,11419.105562,27.000000,0.023631,0.055707,0.000350,379.128198,0.285369,0.176716,-0.143858,-0.387320,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,64,2,1,512,512,8,35,0.099367,0.001387,0.098304,9117.381078,0.000000,0.000000,0.000000,0.000000,379.076805,0.285387,0.176703,-0.143890,-0.387281,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,64,3,1,342,342,8,35,0.113746,0.000848,0.111776,3553.765093,0.000000,0.000000,0.000000,0.000000,-483.787011,0.285387,-0.282643,-0.387281,-0.054763,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,64,3,1,342,342,8,35,0.029538,0.000786,0.027712,13685.081245,12.046921,0.011109,0.018429,0.000349,-483.631920,0.285369,-0.282658,-0.387320,-0.054738,-,NVIDIA GeForce RTX 5090
