method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
direct_cuda,256,3,3,1,1,1,256,256,8,80,0.004041,0.000779,0.003136,875.802817,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,1,1,256,256,8,80,0.011495,0.000807,0.010112,307.873473,6.750000,0.007173,0.004322,0.000000,9.238989,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,1,1,256,256,8,80,0.012725,0.000353,0.012352,278.105180,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,2,1,128,128,8,80,0.003779,0.000651,0.003104,234.131474,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,2,1,128,128,8,80,0.008619,0.000604,0.007072,102.651878,1.687500,0.003239,0.005380,0.000000,2.301032,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,2,1,128,128,8,80,0.012910,0.000473,0.012320,68.528938,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,3,1,86,86,8,80,0.003852,0.000718,0.003104,103.693012,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,3,1,86,86,8,80,0.011418,0.000514,0.010720,34.979681,0.761765,0.003190,0.008228,0.000000,5.768309,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,3,1,86,86,8,80,0.013949,0.001099,0.012480,28.632140,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,1,1,512,512,8,60,0.005686,0.000602,0.004960,2489.409127,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,1,1,512,512,8,60,0.027880,0.000783,0.026912,507.739453,27.000000,0.019483,0.008397,0.000000,-11.171479,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,1,1,512,512,8,60,0.017152,0.000522,0.016448,825.313442,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,2,1,256,256,8,60,0.004361,0.000851,0.003200,811.585129,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,2,1,256,256,8,60,0.011568,0.000735,0.010688,305.925312,6.750000,0.007197,0.004371,0.000000,-23.953355,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,2,1,256,256,8,60,0.015615,0.000507,0.014496,226.630690,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,3,1,171,171,8,60,0.004232,0.000999,0.003168,373.112953,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,3,1,171,171,8,60,0.009334,0.000948,0.008608,169.170406,3.011730,0.005099,0.004235,0.000000,52.889671,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,3,1,171,171,8,60,0.014023,0.000781,0.012512,112.602262,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,1,1,1024,1024,8,35,0.011835,0.000695,0.011072,4784.203942,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,1,1,1024,1024,8,35,0.117763,0.000922,0.115520,480.823578,108.000000,0.075024,0.042739,0.000000,69.065362,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,1,1,1024,1024,8,35,0.035341,0.000381,0.035040,1602.202119,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,2,1,512,512,8,35,0.007024,0.000576,0.006208,2015.212807,0.000000,0.000000,0.000000,0.000000,1.932345,0.083073,-0.175348,0.013420,0.001283,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,2,1,512,512,8,35,0.028042,0.000903,0.027104,504.805193,27.000000,0.019499,0.008543,0.000000,1.932334,0.083073,-0.175348,0.013420,0.001283,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,2,1,512,512,8,35,0.016831,0.000607,0.015072,841.049503,0.000000,0.000000,0.000000,0.000000,1.932345,0.083073,-0.175348,0.013420,0.001283,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,3,1,342,342,8,35,0.005049,0.000507,0.004128,1251.029750,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,3,1,342,342,8,35,0.017264,0.000474,0.015520,365.860940,12.046921,0.011121,0.006142,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,3,1,342,342,8,35,0.014289,0.000674,0.012384,442.010767,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,1,1,2048,2048,5,24,0.038824,0.001039,0.036960,5833.824861,0.000000,0.000000,0.000000,0.000000,28.655169,0.192287,-0.089163,0.049149,0.065891,-,NVIDIA GeForce RTX 5090
