method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
cudnn,1024,3,3,1,3,1,342,342,8,35,0.014255,0.000758,0.012640,443.088080,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,1,1,2048,2048,5,24,0.038673,0.000960,0.037824,5856.552776,0.000000,0.000000,0.000000,0.000000,28.655169,0.192287,-0.089163,0.049149,0.065891,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,1,1,2048,2048,5,24,0.834096,0.002075,0.830208,271.542383,432.000000,0.533481,0.300615,0.000000,28.655212,0.192287,-0.089163,0.049149,0.065891,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,1,1,2048,2048,5,24,0.107476,0.001043,0.106464,2107.376666,0.000000,0.000000,0.000000,0.000000,28.655169,0.192287,-0.089163,0.049149,0.065891,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,2,1,1024,1024,5,24,0.015285,0.000450,0.014336,3704.407515,0.000000,0.000000,0.000000,0.000000,-225.593098,0.192287,0.049149,-0.094374,-0.034171,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,2,1,1024,1024,5,24,0.137408,0.001027,0.135360,412.080113,108.000000,0.085887,0.051521,0.000000,-225.593092,0.192287,0.049149,-0.094374,-0.034171,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,2,1,1024,1024,5,24,0.035741,0.000505,0.034848,1584.247113,0.000000,0.000000,0.000000,0.000000,-225.593098,0.192287,0.049149,-0.094374,-0.034171,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,1,3,1,683,683,5,24,0.011063,0.000457,0.010272,2277.064543,0.000000,0.000000,0.000000,0.000000,-96.485800,0.192287,0.065891,-0.034171,0.212887,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,1,3,1,683,683,5,24,0.053497,0.001463,0.052128,470.872184,48.046886,0.038305,0.015192,0.000000,-96.485793,0.192287,0.065891,-0.034171,0.212887,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,1,3,1,683,683,5,24,0.022977,0.001449,0.021440,1096.315473,0.000000,0.000000,0.000000,0.000000,-96.485800,0.192287,0.065891,-0.034171,0.212887,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,1,1,4096,4096,3,12,0.203493,0.001839,0.201600,4452.085209,0.000000,0.000000,0.000000,0.000000,200.975287,-0.015957,-0.082772,0.059791,-0.096415,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,1,1,4096,4096,3,12,2.769485,0.021794,2.728896,327.125643,1728.000000,1.592320,1.177165,0.000000,200.975269,-0.015957,-0.082772,0.059791,-0.096415,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,1,1,4096,4096,3,12,0.505733,0.000754,0.503712,1791.397973,0.000000,0.000000,0.000000,0.000000,200.975287,-0.015957,-0.082772,0.059791,-0.096415,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,2,1,2048,2048,3,12,0.130227,0.000906,0.128288,1739.216889,0.000000,0.000000,0.000000,0.000000,-89.997782,-0.015957,0.059791,0.253736,0.020813,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,2,1,2048,2048,3,12,1.075755,0.002251,1.073952,210.542816,432.000000,0.772827,0.302928,0.000000,-89.997793,-0.015957,0.059791,0.253736,0.020813,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,2,1,2048,2048,3,12,0.155555,0.000515,0.154656,1456.031014,0.000000,0.000000,0.000000,0.000000,-89.997782,-0.015957,0.059791,0.253736,0.020813,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,1,3,1,1366,1366,3,12,0.127840,0.000576,0.127008,788.185405,0.000000,0.000000,0.000000,0.000000,172.371926,-0.015957,-0.096415,0.020813,0.025312,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,1,3,1,1366,1366,3,12,0.453872,0.002106,0.449344,222.004495,192.187546,0.326040,0.127832,0.000000,172.371942,-0.015957,-0.096415,0.020813,0.025312,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,1,3,1,1366,1366,3,12,0.136080,0.000783,0.135072,740.458741,0.000000,0.000000,0.000000,0.000000,172.371926,-0.015957,-0.096415,0.020813,0.025312,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,1,1,256,256,8,80,0.011770,0.000633,0.010880,4810.962474,0.000000,0.000000,0.000000,0.000000,279.769374,-0.135109,-0.010073,-0.037619,0.260087,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,1,1,256,256,8,80,0.019225,0.000663,0.017216,2945.254366,6.750000,0.007178,0.012048,0.000294,279.778570,-0.135079,-0.010006,-0.037570,0.260066,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,1,1,256,256,8,80,0.021010,0.001041,0.019872,2695.054914,0.000000,0.000000,0.000000,0.000000,279.769374,-0.135109,-0.010073,-0.037619,0.260087,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,16,2,1,128,128,8,80,0.006832,0.000776,0.005152,2072.102575,0.000000,0.000000,0.000000,0.000000,-19.413115,-0.135109,-0.037619,-0.176186,-0.163357,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,2,1,128,128,8,80,0.010194,0.000851,0.009024,1388.692519,1.687500,0.003330,0.006864,0.000288,-19.460269,-0.135079,-0.037570,-0.176183,-0.163408,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,2,1,128,128,8,80,0.013700,0.001660,0.012384,1033.268327,0.000000,0.000000,0.000000,0.000000,-19.413115,-0.135109,-0.037619,-0.176186,-0.163357,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
