method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
direct_cuda,256,3,3,1,1,1,256,256,8,80,0.004037,0.000978,0.003136,876.583779,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,1,1,256,256,8,80,0.011702,0.001055,0.010496,302.422152,6.750000,0.007387,0.004315,0.000000,9.238989,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,1,1,256,256,8,80,0.013331,0.001219,0.012288,265.463274,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,2,1,128,128,8,80,0.003685,0.000720,0.003072,240.104215,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,2,1,128,128,8,80,0.008649,0.000748,0.007072,102.291080,1.687500,0.003262,0.005388,0.000000,2.301032,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,2,1,128,128,8,80,0.012791,0.000405,0.012256,69.169716,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,3,1,86,86,8,80,0.003901,0.000774,0.003136,102.385153,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,3,1,86,86,8,80,0.011428,0.001125,0.008128,34.946624,0.761765,0.003137,0.008291,0.000000,5.768309,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,3,1,86,86,8,80,0.013907,0.001160,0.008736,28.717787,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,1,1,512,512,8,60,0.005571,0.000514,0.004992,2541.127828,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,1,1,512,512,8,60,0.027922,0.000821,0.027104,506.973297,27.000000,0.019524,0.008398,0.000000,-11.171479,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,1,1,512,512,8,60,0.016953,0.000462,0.016416,835.024238,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,2,1,256,256,8,60,0.004295,0.000888,0.003200,823.878823,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,2,1,256,256,8,60,0.011556,0.000743,0.010464,306.250059,6.750000,0.007186,0.004370,0.000000,-23.953355,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,2,1,256,256,8,60,0.012836,0.000556,0.012384,275.698855,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,3,1,171,171,8,60,0.004117,0.000815,0.003136,383.504052,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,3,1,171,171,8,60,0.009310,0.000638,0.008384,169.596795,3.011730,0.005191,0.004119,0.000000,52.889671,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,3,1,171,171,8,60,0.013729,0.001523,0.012416,115.012481,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,1,1,1024,1024,8,35,0.011969,0.000571,0.011168,4730.847136,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,1,1,1024,1024,8,35,0.117946,0.000833,0.115552,480.078133,108.000000,0.074975,0.042971,0.000000,69.065362,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,1,1,1024,1024,8,35,0.035314,0.001135,0.033152,1603.405066,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,GEMM,NVIDIA GeForce RTX 5090
