impl,schedule,M,N,threads,chunk,iterations,diff,time_sec,checksum,repeat
pthread,dynamic,500,500,16,8,16966,0.000999992,1.204201,21490.633363,0
pthread,dynamic,500,500,16,8,16966,0.000999992,1.072114,21490.633363,1
pthread,dynamic,500,500,16,8,16966,0.000999992,1.156819,21490.633363,2
pthread,dynamic,500,500,32,8,16966,0.000999992,2.643740,21490.633363,0
pthread,dynamic,500,500,32,8,16966,0.000999992,2.849709,21490.633363,1
pthread,dynamic,500,500,32,8,16966,0.000999992,2.825222,21490.633363,2
pthread,guided,500,500,1,8,16966,0.000999992,2.588100,21490.633363,0
pthread,guided,500,500,1,8,16966,0.000999992,2.540286,21490.633363,1
pthread,guided,500,500,1,8,16966,0.000999992,2.582814,21490.633363,2
pthread,guided,500,500,2,8,16966,0.000999992,1.459532,21490.633363,0
pthread,guided,500,500,2,8,16966,0.000999992,1.511736,21490.633363,1
pthread,guided,500,500,2,8,16966,0.000999992,1.489041,21490.633363,2
pthread,guided,500,500,4,8,16966,0.000999992,1.164959,21490.633363,0
pthread,guided,500,500,4,8,16966,0.000999992,1.149871,21490.633363,1
pthread,guided,500,500,4,8,16966,0.000999992,0.955945,21490.633363,2
pthread,guided,500,500,8,8,16966,0.000999992,0.951981,21490.633363,0
pthread,guided,500,500,8,8,16966,0.000999992,0.790733,21490.633363,1
pthread,guided,500,500,8,8,16966,0.000999992,0.803680,21490.633363,2
pthread,guided,500,500,16,8,16966,0.000999992,1.169372,21490.633363,0
pthread,guided,500,500,16,8,16966,0.000999992,1.147441,21490.633363,1
pthread,guided,500,500,16,8,16966,0.000999992,1.140065,21490.633363,2
pthread,guided,500,500,32,8,16966,0.000999992,2.811902,21490.633363,0
pthread,guided,500,500,32,8,16966,0.000999992,3.083424,21490.633363,1
pthread,guided,500,500,32,8,16966,0.000999992,3.182550,21490.633363,2
