threads,time_s,speedup,efficiency
1,0.025465,1.0000,1.0000
2,0.013269,1.9191,0.9596
4,0.006958,3.6598,0.9150
8,0.003777,6.7421,0.8428
16,0.002330,10.9292,0.6831
32,0.008427,3.0218,0.0944
