FFT_MPI
  MPI C version
  Processes = 16
  Max ln2(N) = 20
             N      NITS    Error         Time          Time/Call     MFLOPS
             2     10000  7.859082e-17  1.141594e-02  5.707969e-07     17.519366
             4     10000  1.209837e-16  2.262922e-02  1.131461e-06     35.352525
             8     10000  6.605630e-17  5.125720e-02  2.562860e-06     46.822688
            16     10000  1.201601e-16  8.704811e-02  4.352405e-06     73.522564
            32      1000  1.271315e-16  2.350361e-02  1.175180e-05     68.074652
            64      1000  1.745831e-16  3.070438e-02  1.535219e-05    125.063602
           128      1000  1.883750e-16  5.241108e-02  2.620554e-05    170.956227
           256      1000  1.998135e-16  8.812343e-02  4.406171e-05    232.401303
           512       100  1.833001e-16  1.578637e-02  7.893187e-05    291.897303
          1024       100  2.229416e-16  2.755719e-02  1.377859e-04    371.590876
          2048       100  2.466798e-16  4.492478e-02  2.246239e-04    501.460419
          4096       100  2.408186e-16  8.281100e-02  4.140550e-04    593.544329
          8192        10  2.573409e-16  1.514875e-02  7.574376e-04    703.001759
         16384        10  2.679263e-16  2.822195e-02  1.411097e-03    812.757475
         32768        10  2.886770e-16  5.383165e-02  2.691583e-03    913.068748
         65536        10  2.802699e-16  1.247476e-01  6.237379e-03    840.558169
        131072         1  3.103609e-16  3.243449e-02  1.621724e-02    686.992213
        262144         1  3.209765e-16  7.253553e-02  3.626776e-02    650.521493
        524288         1  3.256996e-16  2.354114e-01  1.177057e-01    423.151692
       1048576         1  3.201128e-16  6.163296e-01  3.081648e-01    340.264678
FFT_MPI: Normal end of execution.
