FFT_MPI
  MPI C version
  Processes = 8
  Max ln2(N) = 20
             N      NITS    Error         Time          Time/Call     MFLOPS
             2     10000  7.859082e-17  8.422477e-03  4.211238e-07     23.745984
             4     10000  1.209837e-16  2.360284e-02  1.180142e-06     33.894223
             8     10000  6.605630e-17  4.797892e-02  2.398946e-06     50.021967
            16     10000  1.201601e-16  9.449092e-02  4.724546e-06     67.731374
            32      1000  1.306338e-16  2.007518e-02  1.003759e-05     79.700398
            64      1000  1.745831e-16  2.814271e-02  1.407136e-05    136.447395
           128      1000  1.883750e-16  3.801589e-02  1.900794e-05    235.690918
           256      1000  1.998135e-16  8.779581e-02  4.389790e-05    233.268541
           512       100  1.833001e-16  1.124345e-02  5.621726e-05    409.838581
          1024       100  2.229416e-16  1.956387e-02  9.781936e-05    523.413770
          2048       100  2.466798e-16  3.181868e-02  1.590934e-04    708.011727
          4096       100  2.408186e-16  5.496516e-02  2.748258e-04    894.239122
          8192        10  2.573409e-16  9.468200e-03  4.734100e-04   1124.775565
         16384        10  2.679263e-16  1.797080e-02  8.985401e-04   1276.381473
         32768        10  2.886770e-16  3.629588e-02  1.814794e-03   1354.203287
         65536        10  2.802699e-16  7.693919e-02  3.846960e-03   1362.863286
        131072         1  3.103609e-16  1.737185e-02  8.685926e-03   1282.663398
        262144         1  3.209765e-16  3.570522e-02  1.785261e-02   1321.541405
        524288         1  3.256996e-16  1.145550e-01  5.727750e-02    869.579822
       1048576         1  3.201128e-16  3.386497e-01  1.693249e-01    619.268739
FFT_MPI: Normal end of execution.
