FFT_MPI
  MPI C version
  Processes = 1
  Max ln2(N) = 20
             N      NITS    Error         Time          Time/Call     MFLOPS
             2     10000  7.859082e-17  5.646880e-04  2.823440e-08    354.177882
             4     10000  1.209837e-16  1.205022e-03  6.025110e-08    663.888294
             8     10000  6.605630e-17  1.763839e-03  8.819195e-08   1360.668406
            16     10000  1.201601e-16  2.607853e-03  1.303926e-07   2454.126057
            32      1000  1.306338e-16  3.781580e-04  1.890790e-07   4231.035705
            64      1000  1.745831e-16  5.973470e-04  2.986735e-07   6428.424350
           128      1000  1.883750e-16  1.082268e-03  5.411340e-07   8278.910584
           256      1000  1.998135e-16  1.953283e-03  9.766415e-07  10484.911813
           512       100  1.833001e-16  3.523110e-04  1.761555e-06  13079.353185
          1024       100  2.229416e-16  7.762220e-04  3.881110e-06  13192.102259
          2048       100  2.466798e-16  2.086075e-03  1.043037e-05  10799.228216
          4096       100  2.408186e-16  4.572677e-03  2.286339e-05  10749.064498
          8192        10  2.573409e-16  9.390180e-04  4.695090e-05  11341.209647
         16384        10  2.679263e-16  2.065127e-03  1.032563e-04  11107.113509
         32768        10  2.886770e-16  5.080873e-03  2.540436e-04   9673.928083
         65536        10  2.802699e-16  1.154551e-02  5.772756e-04   9082.109135
        131072         1  3.103609e-16  2.433327e-03  1.216663e-03   9157.108765
        262144         1  3.209765e-16  4.537043e-03  2.268522e-03  10400.148290
        524288         1  3.256996e-16  9.497557e-03  4.748778e-03  10488.457190
       1048576         1  3.201128e-16  2.250513e-02  1.125256e-02   9318.551340
FFT_MPI: Normal end of execution.
