FFT_MPI
  MPI C version
  Processes = 32
  Max ln2(N) = 20
             N      NITS    Error         Time          Time/Call     MFLOPS
             2     10000  7.859082e-17  9.016622e-02  4.508311e-06      2.218126
             4     10000  1.209837e-16  6.550629e-02  3.275314e-06     12.212569
             8     10000  6.605630e-17  1.401121e-01  7.005604e-06     17.129143
            16     10000  1.201601e-16  1.953165e-01  9.765826e-06     32.767325
            32      1000  1.271315e-16  3.847378e-02  1.923689e-05     41.586766
            64      1000  1.787395e-16  6.227726e-02  3.113863e-05     61.659749
           128      1000  1.883750e-16  9.571193e-02  4.785596e-05     93.614245
           256      1000  1.998135e-16  2.160556e+00  1.080278e-03      9.479041
           512       100  1.833001e-16  3.548472e-02  1.774236e-04    129.858696
          1024       100  2.229416e-16  7.168670e-02  3.584335e-04    142.843783
          2048       100  2.466798e-16  9.920100e-02  4.960050e-04    227.094494
          4096       100  2.408186e-16  2.332882e-01  1.166441e-03    210.692214
          8192        10  2.573409e-16  3.805094e-02  1.902547e-03    279.877471
         16384        10  2.679263e-16  1.800858e-01  9.004288e-03    127.370420
         32768        10  2.886770e-16  1.672324e-01  8.361620e-03    293.914327
         65536        10  2.802699e-16  5.038969e-01  2.519484e-02    208.093380
        131072         1  3.103609e-16  1.371657e-01  6.858286e-02    162.447577
        262144         1  3.209765e-16  3.112004e-01  1.556002e-01    151.625495
        524288         1  3.256996e-16  6.367239e-01  3.183620e-01    156.448835
       1048576         1  3.201128e-16  1.393754e+00  6.968770e-01    150.467873
FFT_MPI: Normal end of execution.
