FFT_MPI
  MPI C version
  Processes = 2
  Max ln2(N) = 20
             N      NITS    Error         Time          Time/Call     MFLOPS
             2     10000  7.859082e-17  3.493226e-03  1.746613e-07     57.253668
             4     10000  1.209837e-16  7.180574e-03  3.590287e-07    111.411706
             8     10000  6.605630e-17  1.087539e-02  5.437693e-07    220.681822
            16     10000  1.201601e-16  1.500520e-02  7.502599e-07    426.518864
            32      1000  1.306338e-16  2.144080e-03  1.072040e-06    746.240812
            64      1000  1.745831e-16  3.447973e-03  1.723987e-06   1113.697816
           128      1000  1.883750e-16  4.543325e-03  2.271663e-06   1972.123940
           256      1000  1.998135e-16  8.110194e-03  4.055097e-06   2525.217029
           512       100  1.833001e-16  2.375692e-03  1.187846e-05   1939.645375
          1024       100  2.229416e-16  3.494157e-03  1.747079e-05   2930.606724
          2048       100  2.466798e-16  5.456176e-03  2.728088e-05   4128.899068
          4096       100  2.408186e-16  9.772620e-03  4.886310e-05   5029.562185
          8192        10  2.573409e-16  1.797360e-03  8.986800e-05   5925.134642
         16384        10  2.679263e-16  4.095911e-03  2.047955e-04   5600.121682
         32768        10  2.886770e-16  8.722198e-03  4.361099e-04   5635.276796
         65536        10  2.802699e-16  1.965070e-02  9.825350e-04   5336.074542
        131072         1  3.103609e-16  4.049998e-03  2.024999e-03   5501.790371
        262144         1  3.209765e-16  8.047621e-03  4.023811e-03   5863.337749
        524288         1  3.256996e-16  1.687297e-02  8.436483e-03   5903.805774
       1048576         1  3.201128e-16  4.219596e-02  2.109798e-02   4970.030777
FFT_MPI: Normal end of execution.
